fips,incidentType,num_disasters,has_data_center,num_data_centers
01001,Severe Storm,1,0,0
01001,Fire,0,0,0
01001,Hurricane,3,0,0
01001,Winter Storm,0,0,0
01001,Flood,0,0,0
01001,Tornado,0,0,0
01001,Tropical Storm,0,0,0
01001,Snowstorm,0,0,0
01001,Coastal Storm,0,0,0
01001,Severe Ice Storm,0,0,0
01003,Severe Storm,0,0,0
01003,Fire,0,0,0
01003,Hurricane,3,0,0
01003,Winter Storm,0,0,0
01003,Flood,0,0,0
01003,Tornado,0,0,0
01003,Tropical Storm,0,0,0
01003,Snowstorm,0,0,0
01003,Coastal Storm,0,0,0
01003,Severe Ice Storm,0,0,0
01005,Severe Storm,2,0,0
01005,Fire,0,0,0
01005,Hurricane,3,0,0
01005,Winter Storm,0,0,0
01005,Flood,0,0,0
01005,Tornado,0,0,0
01005,Tropical Storm,0,0,0
01005,Snowstorm,0,0,0
01005,Coastal Storm,0,0,0
01005,Severe Ice Storm,0,0,0
01007,Severe Storm,1,0,0
01007,Fire,0,0,0
01007,Hurricane,2,0,0
01007,Winter Storm,0,0,0
01007,Flood,0,0,0
01007,Tornado,0,0,0
01007,Tropical Storm,0,0,0
01007,Snowstorm,0,0,0
01007,Coastal Storm,0,0,0
01007,Severe Ice Storm,0,0,0
01009,Severe Storm,3,0,0
01009,Fire,0,0,0
01009,Hurricane,2,0,0
01009,Winter Storm,0,0,0
01009,Flood,0,0,0
01009,Tornado,0,0,0
01009,Tropical Storm,0,0,0
01009,Snowstorm,0,0,0
01009,Coastal Storm,0,0,0
01009,Severe Ice Storm,0,0,0
01011,Severe Storm,0,0,0
01011,Fire,0,0,0
01011,Hurricane,2,0,0
01011,Winter Storm,0,0,0
01011,Flood,0,0,0
01011,Tornado,0,0,0
01011,Tropical Storm,0,0,0
01011,Snowstorm,0,0,0
01011,Coastal Storm,0,0,0
01011,Severe Ice Storm,0,0,0
01013,Severe Storm,1,0,0
01013,Fire,0,0,0
01013,Hurricane,4,0,0
01013,Winter Storm,0,0,0
01013,Flood,0,0,0
01013,Tornado,0,0,0
01013,Tropical Storm,0,0,0
01013,Snowstorm,0,0,0
01013,Coastal Storm,0,0,0
01013,Severe Ice Storm,0,0,0
01015,Severe Storm,1,0,0
01015,Fire,0,0,0
01015,Hurricane,3,0,0
01015,Winter Storm,0,0,0
01015,Flood,0,0,0
01015,Tornado,0,0,0
01015,Tropical Storm,0,0,0
01015,Snowstorm,0,0,0
01015,Coastal Storm,0,0,0
01015,Severe Ice Storm,0,0,0
01017,Severe Storm,3,0,0
01017,Fire,0,0,0
01017,Hurricane,2,0,0
01017,Winter Storm,0,0,0
01017,Flood,0,0,0
01017,Tornado,0,0,0
01017,Tropical Storm,0,0,0
01017,Snowstorm,0,0,0
01017,Coastal Storm,0,0,0
01017,Severe Ice Storm,0,0,0
01019,Severe Storm,1,0,0
01019,Fire,0,0,0
01019,Hurricane,3,0,0
01019,Winter Storm,0,0,0
01019,Flood,0,0,0
01019,Tornado,0,0,0
01019,Tropical Storm,0,0,0
01019,Snowstorm,0,0,0
01019,Coastal Storm,0,0,0
01019,Severe Ice Storm,0,0,0
01021,Severe Storm,1,0,0
01021,Fire,0,0,0
01021,Hurricane,3,0,0
01021,Winter Storm,0,0,0
01021,Flood,0,0,0
01021,Tornado,0,0,0
01021,Tropical Storm,0,0,0
01021,Snowstorm,0,0,0
01021,Coastal Storm,0,0,0
01021,Severe Ice Storm,0,0,0
01023,Severe Storm,1,0,0
01023,Fire,0,0,0
01023,Hurricane,3,0,0
01023,Winter Storm,0,0,0
