fips,has_data_center,num_data_centers,num_disasters
01001,0,0,4
01003,0,0,3
01005,0,0,5
01007,0,0,3
01009,0,0,5
01011,0,0,2
01013,0,0,5
01015,0,0,4
01017,0,0,5
01019,0,0,4
01021,0,0,4
01023,0,0,4
01025,0,0,4
01027,0,0,4
01029,0,0,2
01031,0,0,4
01033,0,0,5
01035,0,0,4
01037,0,0,6
01039,0,0,5
01041,0,0,5
01043,0,0,4
01045,0,0,3
01047,0,0,5
01049,0,0,4
01051,0,0,5
01053,0,0,3
01055,0,0,3
01057,0,0,3
01059,0,0,3
01061,0,0,3
01063,0,0,5
01065,0,0,5
01067,0,0,3
01069,0,0,3
01071,1,1,4
01073,1,2,4
01075,0,0,4
01077,0,0,3
01079,0,0,2
01081,0,0,3
01083,0,0,3
01085,0,0,3
01087,0,0,4
01089,1,2,3
01091,0,0,3
01093,0,0,5
01095,0,0,3
01097,0,0,5
01099,0,0,4
01101,1,1,2
01103,0,0,5
01105,0,0,5
01107,0,0,2
01109,0,0,4
01111,0,0,6
01113,0,0,2
01115,0,0,2
01117,1,1,4
01119,0,0,3
01121,0,0,3
01123,0,0,5
01125,0,0,3
01127,0,0,3
01129,0,0,3
01131,0,0,4
01133,0,0,3
02013,0,0,0
02016,0,0,1
02020,0,0,0
02050,0,0,9
02060,0,0,0
02068,0,0,2
02070,0,0,0
02090,0,0,3
02100,0,0,0
02105,0,0,0
02110,0,0,1
02122,0,0,1
02130,0,0,0
02150,0,0,0
02164,0,0,0
02170,0,0,3
02180,0,0,2
02185,0,0,0
02188,0,0,0
02195,0,0,0
02198,0,0,0
02220,0,0,0
02230,0,0,0
02240,0,0,3
02261,0,0,0
02270,0,0,1
02275,0,0,0
02282,0,0,0
02290,0,0,3
04001,0,0,1
04003,0,0,0
04005,1,1,4
04007,0,0,3
04009,0,0,0
04011,0,0,0
04012,0,0,0
04013,1,21,8
04015,0,0,0
04017,0,0,1
04019,1,3,1
04021,1,7,4
04023,0,0,0
04025,1,1,2
04027,0,0,0
05001,0,0,5
05003,0,0,1
05005,0,0,2
05007,0,0,2
05009,1,1,2
05011,0,0,3
05013,0,0,2
05015,1,1,2
05017,0,0,3
05019,0,0,1
05021,0,0,1
05023,0,0,1
05025,0,0,3
05027,0,0,1
05029,0,0,3
05031,0,0,3
05033,0,0,3
05035,1,1,1
05037,0,0,2
05039,0,0,3
05041,0,0,5
05043,0,0,3
05045,0,0,4
05047,0,0,3
05049,0,0,2
05051,0,0,1
05053,0,0,3
05055,0,0,2
05057,0,0,1
05059,0,0,1
05061,0,0,1
05063,0,0,1
05065,0,0,1
05067,0,0,2
05069,0,0,5
05071,1,1,3
05073,0,0,1
05075,0,0,1
05077,0,0,1
05079,0,0,5
05081,0,0,1
05083,0,0,3
05085,0,0,3
05087,0,0,3
05089,1,1,2
05091,0,0,1
05093,0,0,2
05095,0,0,2
05097,0,0,1
05099,0,0,3
05101,1,1,2
05103,0,0,3
05105,0,0,3
05107,0,0,2
05109,0,0,1
05111,0,0,3
05113,0,0,1
05115,1,1,3
05117,0,0,1
05119,1,1,4
05121,0,0,2
05123,1,1,1
05125,1,1,1
05127,0,0,1
05129,0,0,3
05131,0,0,3
05133,0,0,1
05135,0,0,2
05137,0,0,2
05139,0,0,1
05141,0,0,1
05143,0,0,2
05145,0,0,1
05147,0,0,2
05149,0,0,3
06001,0,0,3
06003,0,0,4
06005,0,0,5
06007,0,0,9
06009,0,0,4
06011,0,0,4
06013,0,0,2
06015,0,0,5
06017,0,0,9
06019,0,0,6
06021,0,0,6
06023,0,0,5
06025,0,0,3
06027,0,0,4
06029,1,1,5
06031,0,0,3
06033,0,0,8
06035,0,0,4
06037,1,1,12
06039,0,0,6
06041,0,0,5
06043,0,0,8
06045,0,0,8
06047,0,0,4
06049,0,0,2
06051,0,0,3
06053,0,0,9
06055,0,0,10
06057,0,0,6
06059,0,0,6
06061,0,0,7
06063,0,0,6
06065,0,0,10
06067,1,1,4
06069,0,0,4
06071,0,0,10
06073,0,0,4
06075,0,0,4
06077,1,1,4
06079,0,0,5
06081,1,1,6
06083,0,0,8
06085,1,9,6
06087,0,0,7
06089,0,0,5
06091,0,0,3
06093,0,0,6
06095,0,0,5
06097,0,0,10
06099,0,0,6
06101,0,0,3
06103,0,0,5
06105,0,0,8
06107,0,0,6
06109,0,0,5
06111,0,0,8
06113,0,0,5
06115,0,0,5
08001,1,2,0
08003,0,0,0
08005,1,1,1
08007,0,0,0
08009,0,0,1
08011,0,0,0
08013,0,0,4
08014,0,0,0
08015,0,0,0
08017,0,0,1
08019,0,0,0
08021,0,0,0
08023,0,0,0
08025,0,0,0
08027,0,0,0
08029,0,0,0
08031,1,3,0
08033,0,0,0
08035,1,1,1
08037,0,0,1
08039,0,0,1
08041,1,1,1
08043,0,0,0
08045,0,0,2
08047,0,0,0
08049,0,0,2
08051,0,0,0
08053,0,0,0
08055,0,0,0
08057,0,0,0
08059,0,0,2
08061,0,0,1
08063,0,0,1
08065,0,0,0
08067,0,0,0
08069,0,0,4
08071,0,0,0
08073,0,0,1
08075,0,0,1
08077,0,0,1
08079,0,0,0
08081,0,0,0
08083,0,0,0
08085,0,0,0
08087,0,0,0
08089,0,0,0
08091,0,0,0
08093,0,0,0
08095,0,0,0
08097,0,0,0
08099,0,0,1
08101,0,0,0
08103,0,0,0
08105,0,0,0
08107,0,0,0
08109,0,0,0
08111,0,0,0
08113,0,0,0
08115,0,0,0
08117,0,0,0
08119,0,0,1
08121,0,0,1
08123,1,1,0
08125,0,0,0
09001,0,0,6
