fips,has_data_center,num_disasters
01001,0,1
01003,0,1
01005,0,1
01007,0,1
01009,0,1
01011,0,1
01013,0,1
01015,0,1
01017,0,1
01019,0,1
01021,0,1
01023,0,1
01025,0,1
01027,0,1
01029,0,1
01031,0,1
01033,0,1
01035,0,1
01037,0,1
01039,0,1
01041,0,1
01043,0,1
01045,0,1
01047,0,1
01049,0,1
01051,0,1
01053,0,1
01055,0,1
01057,0,1
01059,0,1
01061,0,1
01063,0,1
01065,0,1
01067,0,1
01069,0,1
01071,1,1
01073,1,1
01075,0,1
01077,0,1
01079,0,1
01081,0,1
01083,0,1
01085,0,1
01087,0,1
01089,1,1
01091,0,1
01093,0,1
01095,0,1
01097,0,1
01099,0,1
01101,1,1
01103,0,1
01105,0,1
01107,0,1
01109,0,1
01111,0,1
01113,0,1
01115,0,1
01117,1,1
01119,0,1
01121,0,1
01123,0,1
01125,0,1
01127,0,1
01129,0,1
01131,0,1
01133,0,1
02013,0,0
02016,0,0
02020,0,0
02050,0,0
02060,0,0
02068,0,0
02070,0,0
02090,0,0
02100,0,0
02105,0,0
02110,0,1
02122,0,0
02130,0,0
02150,0,0
02164,0,0
02170,0,0
02180,0,0
02185,0,0
02188,0,0
02195,0,0
02198,0,0
02220,0,0
02230,0,0
02240,0,0
02261,0,0
02270,0,0
02275,0,0
02282,0,0
02290,0,0
04001,0,0
04003,0,0
04005,1,0
04007,0,0
04009,0,0
04011,0,0
04012,0,0
04013,1,2
04015,0,0
04017,0,0
04019,1,0
04021,1,2
04023,0,0
04025,1,0
04027,0,0
05001,0,0
05003,0,0
05005,0,1
05007,0,1
05009,1,1
05011,0,0
05013,0,0
05015,1,1
05017,0,0
05019,0,0
05021,0,0
05023,0,0
05025,0,0
05027,0,0
05029,0,0
05031,0,0
05033,0,0
05035,1,0
05037,0,0
05039,0,0
05041,0,0
05043,0,0
05045,0,0
05047,0,0
05049,0,1
05051,0,0
05053,0,0
05055,0,1
05057,0,0
05059,0,0
05061,0,0
05063,0,0
05065,0,0
05067,0,0
05069,0,0
05071,1,0
05073,0,0
05075,0,0
05077,0,0
05079,0,0
05081,0,0
05083,0,0
05085,0,0
05087,0,1
05089,1,1
05091,0,0
05093,0,0
05095,0,0
05097,0,0
05099,0,1
05101,1,0
05103,0,0
05105,0,0
05107,0,0
05109,0,0
05111,0,0
05113,0,0
05115,1,0
05117,0,0
05119,1,0
05121,0,1
05123,1,0
05125,1,0
05127,0,0
05129,0,0
05131,0,0
05133,0,0
05135,0,1
05137,0,0
05139,0,0
05141,0,0
05143,0,0
05145,0,0
05147,0,0
05149,0,0
06001,0,0
06003,0,0
06005,0,0
06007,0,3
06009,0,0
06011,0,0
06013,0,0
06015,0,0
06017,0,0
06019,0,0
06021,0,1
06023,0,0
06025,0,0
06027,0,0
06029,1,1
06031,0,0
06033,0,1
06035,0,0
06037,1,3
06039,0,0
06041,0,0
06043,0,1
06045,0,0
06047,0,0
06049,0,0
06051,0,0
06053,0,1
06055,0,0
06057,0,0
06059,0,0
06061,0,0
06063,0,0
06065,0,2
06067,1,0
06069,0,0
06071,0,2
06073,0,1
06075,0,0
06077,1,0
06079,0,1
06081,1,0
06083,0,1
06085,1,0
06087,0,1
06089,0,0
06091,0,0
06093,0,0
06095,0,0
06097,0,0
06099,0,0
06101,0,1
06103,0,1
06105,0,0
06107,0,0
06109,0,0
06111,0,2
06113,0,0
06115,0,0
08001,1,0
08003,0,0
08005,1,0
08007,0,0
08009,0,0
08011,0,0
08013,0,1
08014,0,0
08015,0,0
08017,0,0
08019,0,0
08021,0,0
08023,0,0
08025,0,0
08027,0,0
08029,0,0
08031,1,0
08033,0,0
08035,1,0
08037,0,0
08039,0,0
08041,1,0
08043,0,0
08045,0,0
08047,0,0
08049,0,0
08051,0,0
08053,0,0
08055,0,0
08057,0,0
08059,0,1
08061,0,0
08063,0,0
08065,0,0
08067,0,0
08069,0,2
08071,0,0
08073,0,0
08075,0,0
08077,0,0
08079,0,0
08081,0,0
08083,0,0
08085,0,0
08087,0,0
08089,0,0
08091,0,0
08093,0,0
08095,0,0
08097,0,0
08099,0,0
08101,0,0
08103,0,0
08105,0,0
08107,0,0
08109,0,0
08111,0,0
08113,0,0
08115,0,0
08117,0,0
08119,0,0
08121,0,0
08123,1,0
08125,0,0
09001,0,2
09003,0,1
09005,0,2
09007,0,0
09009,0,3
09011,0,1
09013,0,0
09015,0,0
10001,0,0
10003,1,0
10005,0,0
11001,0,0
12001,0,6
12003,0,6
12005,0,4
12007,0,6
12009,0,4
12011,0,2
12013,0,4
12015,0,6
12017,0,6
12019,0,5
12021,0,6
12023,0,7
12027,0,5
12029,0,6
12031,0,5
12033,0,4
12035,0,4
12037,0,4
12039,0,5
12041,0,6
12043,0,4
12045,0,4
12047,0,7
12049,1,4
12051,0,4
12053,0,6
12055,0,4
12057,0,6
12059,0,4
12061,0,2
12063,0,4
12065,0,5
12067,0,7
12069,0,4
12071,0,6
12073,0,5
12075,0,6
12077,0,5
12079,0,7
12081,0,6
12083,0,6
12085,0,2
12086,1,2
12087,0,6
12089,0,5
12091,0,4
12093,0,4
12095,1,4
12097,0,4
12099,1,2
12101,0,6
12103,0,6
12105,1,4
12107,0,5
12109,0,4
12111,1,2
12113,0,5
12115,0,6
12117,1,4
12119,0,6
12121,0,7
12123,0,7
12125,0,6
12127,0,4
12129,0,5
12131,0,4
12133,0,4
13001,0,4
13003,0,4
13005,0,4
13007,0,1
13009,1,2
13011,1,2
13013,0,1
13015,1,1
13017,0,3
13019,0,4
13021,1,1
13023,0,2
13025,0,4
13027,1,4
13029,0,4
13031,1,4
13033,0,4
13035,1,2
13037,0,1
13039,0,4
13043,0,4
13045,1,1
13047,0,1
13049,0,4
13051,0,4
13053,0,1
13055,1,1
13057,1,1
13059,0,1
13061,0,1
13063,1,1
13065,0,4
13067,1,1
13069,0,4
13071,0,4
13073,1,2
13075,0,4
13077,1,1
13079,0,1
13081,0,3
13083,0,1
13085,0,2
13087,0,3
13089,1,1
13091,0,3
13093,0,2
13095,0,1
13097,1,1
13099,0,1
13101,0,4
13103,0,4
13105,0,2
13107,0,3
13109,0,4
13111,0,1
13113,1,1
13115,1,1
13117,1,1
13119,0,2
13121,1,2
13123,0,2
13125,0,2
13127,0,3
13129,1,1
13131,0,3
13133,0,2
13135,1,1
13137,0,2
13139,1,1
13141,0,2
13143,0,1
13145,0,1
13147,0,2
13149,1,1
13151,1,1
13153,1,1
13155,0,3
13157,1,2
13159,1,2
13161,0,4
13163,0,3
13165,0,4
13167,0,3
13169,1,1
13171,1,2
13173,0,4
13175,0,3
13177,0,1
13179,0,4
13181,0,2
13183,0,4
13185,1,4
13187,0,2
13189,1,2
13191,0,4
13193,0,1
13195,0,2
13197,0,1
13199,1,1
13201,0,1
13205,0,3
13207,1,2
13209,0,3
13211,1,1
13213,1,1
13215,1,1
13217,1,2
13219,0,1
13221,0,2
13223,1,2
13225,0,1
13227,1,1
13229,0,4
13231,1,2
13233,0,1
13235,0,2
13237,0,2
13239,0,1
13241,0,2
13243,0,1
13245,1,3
13247,1,1
13249,0,1
13251,0,4
13253,0,1
13255,1,1
13257,0,2
13259,0,1
13261,0,1
13263,0,1
13265,0,2
13267,0,4
13269,0,1
13271,0,3
13273,0,1
13275,0,4
13277,0,4
13279,0,4
13281,0,1
13283,0,3
13285,1,1
13287,0,3
13289,1,2
13291,0,1
13293,1,1
13295,0,1
13297,1,1
13299,0,4
13301,0,2
13303,0,2
13305,0,4
13307,0,1
13309,0,3
13311,0,2
13313,1,1
13315,0,3
13317,0,2
13319,1,2
13321,0,3
15001,0,0
15003,0,0
15005,0,0
15007,0,1
15009,0,0
16001,0,0
16003,0,0
16005,0,0
16007,0,0
16009,0,0
16011,0,0
16013,0,0
16015,0,0
16017,0,0
16019,0,0
16021,0,0
16023,0,0
16025,0,0
16027,0,0
16029,0,0
16031,0,0
16033,0,0
16035,0,0
16037,0,0
16039,0,0
16041,0,0
16043,0,0
16045,0,0
16047,0,0
16049,0,1
16051,0,0
16053,0,0
16055,0,0
16057,0,2
16059,0,0
16061,0,1
16063,0,0
16065,0,0
16067,0,0
16069,0,2
16071,0,0
16073,0,0
16075,0,0
